RK,NAME,POSITION,TEAM,SALARY,SALARY
195,Meyers Leonard, PF,Portland Trail Blazers,3075880,"$3,075,880.00"
196,Norris Cole, PG,New Orleans Pelicans,3036927,"$3,036,927.00"
197,Jeremy Lamb, SG,Charlotte Hornets,3034356,"$3,034,356.00"
198,Anthony Tolliver, PF,Detroit Pistons,3000000,"$3,000,000.00"
199,Brandon Bass, PF,Los Angeles Lakers,3000000,"$3,000,000.00"
200,John Henson, C,Milwaukee Bucks,2943221,"$2,943,221.00"
201,Tibor Pleiss, C,Utah Jazz,2900000,"$2,900,000.00"
202,Luis Scola, PF,Toronto Raptors,2900000,"$2,900,000.00"
203,Maurice Harkless, SF,Portland Trail Blazers,2894059,"$2,894,059.00"
204,Kentavious Caldwell-Pope, SG,Detroit Pistons,2891760,"$2,891,760.00"
205,Nik Stauskas, SG,Philadelphia 76ers,2869440,"$2,869,440.00"
206,Brian Roberts, PG,Charlotte Hornets,2854940,"$2,854,940.00"
207,Kirk Hinrich, SG,Chicago Bulls,2854940,"$2,854,940.00"
208,Dante Cunningham, PF,New Orleans Pelicans,2850000,"$2,850,000.00"
209,Stanley Johnson, SF,Detroit Pistons,2841960,"$2,841,960.00"
210,Furkan Aldemir, PF,Philadelphia 76ers,2836768,"$2,836,768.00"
211,Omri Casspi, SF,Sacramento Kings,2836186,"$2,836,186.00"
212,Sonny Weems, SG,Phoenix Suns,2814000,"$2,814,000.00"
213,Manu Ginobili, SG,San Antonio Spurs,2814000,"$2,814,000.00"
214,Kevin Seraphin, C,New York Knicks,2814000,"$2,814,000.00"
215,Darrell Arthur, PF,Denver Nuggets,2814000,"$2,814,000.00"
216,Luke Ridnour, PG,Toronto Raptors,2750000,"$2,750,000.00"
217,Trey Burke, PG,Utah Jazz,2658240,"$2,658,240.00"
218,Noah Vonleh, PF,Portland Trail Blazers,2637720,"$2,637,720.00"
219,Tyler Zeller, C,Boston Celtics,2616975,"$2,616,975.00"
220,Frank Kaminsky III, C,Charlotte Hornets,2612520,"$2,612,520.00"
221,Jared Sullinger, C,Boston Celtics,2569260,"$2,569,260.00"
222,C.J. McCollum, SG,Portland Trail Blazers,2525160,"$2,525,160.00"
223,Elfrid Payton, PG,Orlando Magic,2505720,"$2,505,720.00"
224,Leandro Barbosa, SG,Golden State Warriors,2500000,"$2,500,000.00"
225,Joel Anthony, C,Detroit Pistons,2500000,"$2,500,000.00"
226,James Johnson, PF,Toronto Raptors,2500000,"$2,500,000.00"
227,Terrence Jones, PF,Houston Rockets,2489530,"$2,489,530.00"
228,Justise Winslow, SF,Miami Heat,2481720,"$2,481,720.00"
229,Shelvin Mack, PG,Utah Jazz,2433333,"$2,433,333.00"
230,Michael Carter-Williams, PG,Milwaukee Bucks,2399040,"$2,399,040.00"
231,Andrew Nicholson, PF,Orlando Magic,2380593,"$2,380,593.00"
232,Doug McDermott, SF,Chicago Bulls,2380440,"$2,380,440.00"
233,Myles Turner, C,Indiana Pacers,2357760,"$2,357,760.00"
234,Evan Fournier, SG,Orlando Magic,2288205,"$2,288,205.00"
235,Donatas Motiejunas, PF,Houston Rockets,2288205,"$2,288,205.00"
236,Steven Adams, C,Oklahoma City Thunder,2279040,"$2,279,040.00"
237,Aaron Brooks, PG,Chicago Bulls,2250000,"$2,250,000.00"
238,Trey Lyles, PF,Utah Jazz,2239800,"$2,239,800.00"
239,Ramon Sessions, PG,Washington Wizards,2170465,"$2,170,465.00"
240,Danny Granger, SF,Detroit Pistons,2170465,"$2,170,465.00"
241,Beno Udrih, PG,Memphis Grizzlies,2170465,"$2,170,465.00"
242,Steve Blake, PG,Detroit Pistons,2170465,"$2,170,465.00"
243,Kelly Olynyk, C,Boston Celtics,2165160,"$2,165,160.00"
