,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,15:00:00,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-,PosicAbbrev
127,Drew Gooden,WAS,34,30,18,12,305,0.3,0.1,0.3,32.0,0.0,0.1,17.1,0.0,0.1,64.3,0.1,0.2,0.3,0.0,0.0,0.0,0.0,0.1,2,0,-0.3, PF
128,Duje Dukan,SAC,24,1,0,1,24,0.3,0.1,0.4,20.0,0.1,0.2,40.0,0.0,0.0,0.0,0.1,0.1,0.2,0.0,0.0,0.0,0.0,0.1,0,0,-0.3, PF
129,Dwight Howard,HOU,30,71,34,37,2280,0.4,0.2,0.3,62.0,0.0,0.0,0.0,0.1,0.2,48.9,0.1,0.3,0.4,0.0,0.1,0.0,0.1,0.1,38,0,0.0, C
130,Dwight Powell,DAL,24,69,35,34,992,0.4,0.1,0.3,49.3,0.0,0.0,12.5,0.1,0.1,73.9,0.1,0.2,0.3,0.0,0.0,0.0,0.0,0.1,3,0,-0.1, PF
131,Dwyane Wade,MIA,34,74,43,31,2258,0.6,0.2,0.5,45.6,0.0,0.0,15.9,0.1,0.2,79.3,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.1,2,0,0.0, SG
132,E'Twaun Moore,CHI,27,59,29,30,1263,0.3,0.1,0.3,48.1,0.0,0.1,45.2,0.0,0.0,62.9,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0,0,-0.0, SG
133,Ed Davis,POR,27,81,43,38,1684,0.3,0.1,0.2,61.1,0.0,0.0,0.0,0.1,0.1,55.9,0.1,0.2,0.4,0.1,0.0,0.0,0.0,0.1,9,0,0.0, PF
134,Edy Tavares,ATL,24,11,7,4,73,0.3,0.1,0.3,57.9,0.0,0.0,0.0,0.0,0.1,37.5,0.1,0.2,0.3,0.0,0.1,0.0,0.1,0.1,0,0,-0.1, PG
135,Elfrid Payton,ORL,22,73,32,41,2145,0.4,0.1,0.3,43.6,0.0,0.0,32.6,0.1,0.1,58.9,0.0,0.1,0.1,0.2,0.1,0.0,0.0,0.1,14,1,-0.0, SG
136,Elijah Millsap,UTA,28,20,9,11,173,0.2,0.1,0.2,28.2,0.0,0.1,8.3,0.1,0.1,72.2,0.0,0.2,0.2,0.1,0.1,0.0,0.0,0.2,0,0,0.1, SG
137,Elliot Williams,CHA,27,5,4,1,45,0.2,0.0,0.2,20.0,0.0,0.1,25.0,0.1,0.1,75.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0,0,-0.1, PF
138,Elton Brand,PHI,37,17,2,15,225,0.3,0.1,0.3,43.1,0.0,0.0,0.0,0.0,0.0,88.9,0.0,0.2,0.3,0.1,0.1,0.0,0.0,0.1,1,0,-0.2, PG
139,Emmanuel Mudiay,DEN,20,68,29,39,2068,0.4,0.2,0.4,36.4,0.0,0.1,31.9,0.1,0.1,67.0,0.0,0.1,0.1,0.2,0.1,0.0,0.0,0.1,4,0,-0.1, C
140,Enes Kanter,OKC,24,82,55,27,1721,0.6,0.2,0.4,57.6,0.0,0.0,47.6,0.1,0.1,79.7,0.1,0.2,0.4,0.0,0.1,0.0,0.0,0.1,25,0,0.1, PG
141,Eric Bledsoe,PHX,26,31,12,19,1059,0.6,0.2,0.5,45.3,0.1,0.1,37.2,0.1,0.2,80.2,0.0,0.1,0.1,0.2,0.1,0.1,0.0,0.1,3,0,-0.1, SG
142,Eric Gordon,NOP,27,45,14,31,1481,0.5,0.2,0.4,41.8,0.1,0.2,38.4,0.1,0.1,88.8,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0,0,-0.1, PF
143,Eric Moreland,SAC,24,8,1,7,48,0.2,0.1,0.1,50.0,0.0,0.0,0.0,0.0,0.1,50.0,0.1,0.2,0.2,0.0,0.1,0.0,0.1,0.1,0,0,0.1, PG
144,Erick Green,DEN,25,9,6,3,42,0.3,0.1,0.3,38.5,0.0,0.1,20.0,0.1,0.1,100,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0,0,-0.0, PF
145,Ersan Ilyasova,ORL,29,74,35,39,1880,0.4,0.1,0.3,42.4,0.1,0.1,37.1,0.1,0.1,72.1,0.1,0.1,0.2,0.0,0.0,0.0,0.0,0.1,4,0,-0.1, SG
146,Evan Fournier,ORL,23,79,33,46,2566,0.5,0.2,0.4,46.2,0.1,0.1,40.0,0.1,0.1,83.6,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0,0,-0.1, SG
147,Evan Turner,BOS,27,81,47,34,2271,0.4,0.1,0.3,45.6,0.0,0.0,24.1,0.1,0.1,82.7,0.0,0.1,0.2,0.2,0.1,0.0,0.0,0.1,4,0,0.0, C
148,Festus Ezeli,GSW,26,46,42,4,770,0.4,0.2,0.3,54.8,0.0,0.0,0.0,0.1,0.2,53.0,0.1,0.2,0.3,0.0,0.1,0.0,0.1,0.1,6,0,0.3, C
149,Frank Kaminsky,CHA,23,81,47,34,1708,0.3,0.1,0.3,41.0,0.0,0.1,33.7,0.1,0.1,73.0,0.0,0.2,0.2,0.1,0.0,0.0,0.0,0.1,1,0,-0.0, SG
150,Garrett Temple,WAS,30,80,40,40,1951,0.3,0.1,0.3,39.8,0.1,0.1,34.5,0.1,0.1,72.8,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0,0,-0.0, SG
151,Gary Harris,DEN,21,76,31,45,2439,0.4,0.1,0.3,46.9,0.0,0.1,35.4,0.0,0.1,82.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0,0,-0.1, PG
152,Gary Neal,WAS,31,40,18,22,807,0.5,0.2,0.4,46.5,0.1,0.1,41.0,0.1,0.1,85.5,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0,0,-0.2, PG
153,George Hill,IND,30,74,41,33,2524,0.3,0.1,0.3,44.1,0.1,0.1,40.8,0.1,0.1,76.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0,0,0.0, SF
154,Gerald Green,MIA,30,69,40,29,1557,0.4,0.1,0.4,39.2,0.1,0.2,32.3,0.1,0.1,78.3,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0,0,0.0, SG
155,Gerald Henderson,POR,28,72,39,33,1431,0.4,0.2,0.4,43.9,0.0,0.1,35.3,0.1,0.1,76.7,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0,0,0.0, SF
156,Giannis Antetokounmpo,MIL,21,80,32,48,2823,0.5,0.2,0.4,50.6,0.0,0.0,25.7,0.1,0.1,72.4,0.0,0.2,0.2,0.1,0.1,0.0,0.0,0.1,21,5,-0.1, SG
157,Glenn Robinson,IND,22,45,24,21,508,0.3,0.1,0.3,43.0,0.0,0.1,37.8,0.1,0.1,69.2,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0,0,-0.1, PG
158,Goran Dragic,MIA,30,72,44,28,2363,0.4,0.2,0.4,47.7,0.0,0.1,31.2,0.1,0.1,72.7,0.0,0.1,0.1,0.2,0.1,0.0,0.0,0.1,5,0,0.1, SF
159,Gordon Hayward,UTA,26,80,38,42,2893,0.6,0.2,0.4,43.3,0.1,0.1,34.9,0.1,0.2,82.4,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.1,4,0,0.0, PF
160,Gorgui Dieng,MIN,26,82,29,53,2220,0.4,0.1,0.3,53.2,0.0,0.0,30.0,0.1,0.1,82.7,0.1,0.2,0.3,0.1,0.1,0.0,0.0,0.1,15,0,0.0, C
161,Greg Monroe,MIL,26,79,32,47,2314,0.5,0.2,0.4,52.2,0.0,0.0,0.0,0.1,0.1,74.0,0.1,0.2,0.3,0.1,0.1,0.0,0.0,0.1,32,0,-0.1, PF
162,Greg Smith,MIN,25,18,8,10,192,0.2,0.1,0.2,56.3,0.0,0.0,0.0,0.0,0.1,41.2,0.1,0.2,0.2,0.0,0.0,0.0,0.0,0.1,0,0,-0.4, PG
163,Greivis Vasquez,MIL,29,23,9,14,460,0.3,0.1,0.3,32.6,0.0,0.2,24.7,0.1,0.1,84.6,0.0,0.1,0.1,0.2,0.1,0.0,0.0,0.1,0,0,-0.2, SF
164,Harrison Barnes,GSW,24,66,59,7,2042,0.4,0.1,0.3,46.6,0.0,0.1,38.3,0.1,0.1,76.1,0.0,0.1,0.2,0.1,0.0,0.0,0.0,0.1,1,0,0.2, C
165,Hassan Whiteside,MIA,27,73,42,31,2125,0.5,0.2,0.3,60.6,0.0,0.0,0.0,0.1,0.1,65.0,0.1,0.3,0.4,0.0,0.1,0.0,0.1,0.1,41,3,0.0, C
166,Henry Sims,BKN,26,14,2,12,263,0.3,0.1,0.3,42.9,0.0,0.0,0.0,0.1,0.1,83.3,0.1,0.2,0.3,0.0,0.1,0.0,0.1,0.1,0,0,-0.4, SF
167,Hollis Thompson,PHI,25,77,10,67,2154,0.3,0.1,0.3,39.7,0.1,0.2,38.0,0.0,0.0,71.9,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0,0,-0.2, SG
168,Ian Clark,GSW,25,66,59,7,578,0.4,0.1,0.3,44.1,0.1,0.1,35.7,0.1,0.1,82.4,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0,0,-0.1, C
169,Ian Mahinmi,IND,29,71,41,30,1816,0.4,0.1,0.3,58.9,0.0,0.0,0.0,0.1,0.1,58.7,0.1,0.2,0.3,0.1,0.1,0.0,0.0,0.1,9,0,0.1, SG
170,Iman Shumpert,CLE,26,54,39,15,1316,0.2,0.1,0.2,37.4,0.0,0.1,29.5,0.0,0.0,78.4,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.1,1,0,0.1, PG
171,Isaiah Canaan,PHI,25,77,10,67,1966,0.4,0.1,0.4,36.0,0.1,0.3,36.3,0.1,0.1,83.3,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0,0,-0.3, PG
172,Isaiah Thomas,BOS,27,82,48,34,2644,0.7,0.2,0.5,42.8,0.1,0.2,35.9,0.2,0.2,87.1,0.0,0.1,0.1,0.2,0.1,0.0,0.0,0.1,7,0,0.1, PG
173,Ish Smith,PHI,27,77,16,61,2239,0.4,0.2,0.4,41.1,0.0,0.1,32.9,0.1,0.1,69.3,0.0,0.1,0.1,0.2,0.1,0.0,0.0,0.1,12,0,-0.1, SF
174,J.J. Barea,DAL,32,74,38,36,1667,0.5,0.2,0.4,44.6,0.1,0.2,38.5,0.0,0.1,77.1,0.0,0.1,0.1,0.2,0.1,0.0,0.0,0.1,2,0,-0.0, SG
175,JJ Hickson,WAS,27,35,17,18,437,0.5,0.2,0.4,51.6,0.0,0.0,0.0,0.1,0.2,44.7,0.1,0.2,0.3,0.1,0.1,0.0,0.0,0.1,2,0,-0.1, C
176,JJ O'Brien,UTA,24,2,2,0,6,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0,0,-1.3, SG
177,JJ Redick,LAC,32,75,50,25,2097,0.6,0.2,0.4,48.0,0.1,0.2,47.5,0.1,0.1,88.8,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0,0,0.2, SG
178,JR Smith,CLE,30,77,53,24,2362,0.4,0.1,0.4,41.5,0.1,0.2,40.0,0.0,0.0,63.4,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.1,1,0,0.1, PF
179,JaKarr Sampson,DEN,23,73,18,55,1160,0.3,0.1,0.3,44.2,0.0,0.1,22.2,0.1,0.1,65.6,0.0,0.1,0.2,0.0,0.1,0.0,0.0,0.1,0,0,-0.2, C
180,JaMychal Green,MEM,26,78,39,39,1446,0.4,0.2,0.3,46.5,0.0,0.0,33.3,0.1,0.1,75.2,0.1,0.2,0.3,0.1,0.1,0.0,0.0,0.1,7,0,-0.0, PF
181,JaVale McGee,DAL,28,34,15,19,370,0.5,0.2,0.4,57.5,0.0,0.0,0.0,0.1,0.1,50.0,0.1,0.2,0.4,0.0,0.1,0.0,0.1,0.1,1,0,-0.1, SF
182,Jabari Parker,MIL,21,76,32,44,2408,0.4,0.2,0.4,49.3,0.0,0.0,25.7,0.1,0.1,76.8,0.1,0.1,0.2,0.1,0.1,0.0,0.0,0.1,6,0,-0.1, C
183,Jae Crowder,BOS,25,73,43,30,2308,0.5,0.2,0.3,44.3,0.1,0.2,33.6,0.1,0.1,82.0,0.0,0.1,0.2,0.1,0.0,0.1,0.0,0.1,5,0,0.1, SG
184,Jahlil Okafor,PHI,20,53,6,47,1591,0.6,0.3,0.5,50.8,0.0,0.0,16.7,0.1,0.1,68.6,0.1,0.2,0.2,0.0,0.1,0.0,0.0,0.1,11,0,-0.3, PG
185,Jamal Crawford,LAC,36,79,51,28,2126,0.5,0.2,0.4,40.4,0.1,0.2,34.0,0.1,0.1,90.4,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0,0,0.1, SG
186,Jameer Nelson,DEN,34,39,12,27,1036,0.3,0.1,0.3,36.8,0.0,0.1,29.9,0.0,0.0,85.7,0.0,0.1,0.1,0.2,0.1,0.0,0.0,0.1,0,0,-0.1, SF
187,James Anderson,SAC,27,51,19,32,721,0.3,0.1,0.3,37.6,0.0,0.1,26.7,0.0,0.0,75.9,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0,0,-0.1, SG
188,James Ennis III,NOP,25,22,11,11,329,0.5,0.2,0.3,47.8,0.1,0.2,44.8,0.1,0.1,73.5,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0,0,-0.1, PF
189,James Harden,HOU,26,82,41,41,3125,0.8,0.2,0.5,43.9,0.1,0.2,35.9,0.2,0.3,86.0,0.0,0.1,0.2,0.2,0.1,0.0,0.0,0.1,23,3,0.0, SG
190,James Johnson,TOR,29,57,35,22,926,0.3,0.1,0.3,47.5,0.0,0.1,30.3,0.0,0.1,57.4,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0,0,0.0, SF
191,James Jones,CLE,35,48,33,15,463,0.4,0.1,0.3,40.8,0.1,0.2,39.4,0.1,0.1,80.8,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0,0,-0.1, SG
192,James Michael McAdoo,GSW,23,41,37,4,262,0.5,0.2,0.3,53.6,0.0,0.0,50.0,0.1,0.2,53.1,0.1,0.1,0.2,0.1,0.1,0.0,0.0,0.1,0,0,-0.3, SG
193,James Young,BOS,20,29,12,17,199,0.1,0.1,0.2,30.6,0.0,0.1,23.1,0.0,0.0,25.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0,0,-0.1, SF
194,Jared Cunningham,CLE,25,44,31,13,410,0.3,0.1,0.3,34.3,0.0,0.1,30.8,0.1,0.1,65.5,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0,0,-0.1, C
195,Jared Dudley,WAS,30,81,40,41,2098,0.3,0.1,0.2,47.8,0.1,0.1,42.0,0.0,0.1,73.5,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0,0,0.0, SG
196,Jared Sullinger,BOS,24,81,47,34,1915,0.4,0.2,0.4,43.5,0.0,0.1,28.2,0.1,0.1,64.0,0.1,0.3,0.3,0.1,0.1,0.0,0.0,0.1,25,0,0.1, PF
197,Jarell Eddie,WAS,24,26,13,13,147,0.4,0.1,0.4,30.8,0.1,0.3,31.9,0.1,0.1,100,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0,0,-0.2, PF
198,Jarell Martin,MEM,22,27,10,17,380,0.4,0.1,0.3,46.6,0.0,0.0,0.0,0.1,0.2,72.6,0.1,0.1,0.2,0.0,0.1,0.0,0.0,0.1,0,0,-0.1, PG
199,Jarnell Stokes,MEM,22,7,1,6,19,0.4,0.2,0.3,60.0,0.0,0.0,0.0,0.1,0.1,50.0,0.1,0.2,0.2,0.1,0.0,0.1,0.0,0.1,0,0,0.5, PF
200,Jarrett Jack,BKN,32,32,10,22,1027,0.4,0.1,0.3,39.1,0.0,0.1,30.4,0.1,0.1,89.3,0.0,0.1,0.1,0.2,0.1,0.0,0.0,0.1,6,0,-0.1, SG
201,Jason Smith,ORL,30,76,33,43,1181,0.5,0.2,0.4,48.5,0.0,0.0,25.0,0.1,0.1,80.6,0.0,0.1,0.2,0.1,0.1,0.0,0.1,0.1,1,0,-0.0, PF
202,Jason Terry,HOU,38,72,37,35,1258,0.3,0.1,0.3,40.2,0.1,0.2,35.6,0.0,0.0,81.8,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0,0,0.0, PF
203,Jason Thompson,TOR,29,47,38,9,471,0.3,0.1,0.2,48.1,0.0,0.0,33.3,0.1,0.1,70.4,0.1,0.2,0.3,0.1,0.0,0.0,0.0,0.2,0,0,-0.0, SF
204,Jeff Ayres,LAC,29,17,11,6,107,0.3,0.1,0.2,52.2,0.0,0.0,0.0,0.1,0.1,100,0.0,0.2,0.2,0.1,0.1,0.0,0.0,0.2,0,0,-0.4, PG
205,Jeff Green,LAC,29,80,48,32,2253,0.4,0.2,0.4,43.0,0.0,0.1,31.5,0.1,0.1,74.5,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.1,1,0,-0.0, C
206,Jeff Teague,ATL,28,79,47,32,2255,0.6,0.2,0.4,43.9,0.1,0.1,40.1,0.1,0.1,83.7,0.0,0.1,0.1,0.2,0.1,0.0,0.0,0.1,4,0,0.0, SF
207,Jeff Withey,UTA,26,51,25,26,658,0.3,0.1,0.3,53.7,0.0,0.0,0.0,0.1,0.1,72.9,0.1,0.2,0.3,0.0,0.0,0.0,0.1,0.1,2,0,0.1, SF
208,Jerami Grant,PHI,22,77,9,68,2066,0.4,0.1,0.3,41.9,0.0,0.1,24.0,0.1,0.2,65.8,0.1,0.1,0.2,0.1,0.1,0.0,0.1,0.1,3,0,-0.2, SG
209,Jeremy Evans,DAL,28,30,16,14,251,0.3,0.1,0.2,54.2,0.0,0.1,25.0,0.1,0.1,71.4,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.1,0,0,-0.2, PG
210,Jeremy Lamb,CHA,24,66,40,26,1227,0.5,0.2,0.4,45.1,0.1,0.1,30.9,0.1,0.1,72.7,0.0,0.2,0.2,0.1,0.0,0.0,0.0,0.1,1,0,0.1, PG
211,Jeremy Lin,CHA,27,78,47,31,2048,0.5,0.1,0.4,41.2,0.0,0.1,33.6,0.1,0.1,81.5,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.1,1,0,0.0, PG
212,Jerian Grant,NYK,23,76,29,47,1265,0.3,0.1,0.3,39.4,0.0,0.1,22.0,0.1,0.1,78.0,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0,0,-0.1, PG
213,Jerryd Bayless,MIL,27,52,21,31,1505,0.4,0.1,0.3,42.3,0.1,0.1,43.7,0.1,0.1,77.8,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.1,1,0,-0.1, SF
214,Jimmer Fredette,SAS,27,6,1,5,18,0.5,0.1,0.3,40.0,0.1,0.1,50.0,0.2,0.3,80.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.1,0,0,-1.4, C
215,Jimmy Butler,CHI,26,67,37,30,2474,0.6,0.2,0.4,45.4,0.0,0.1,31.2,0.2,0.2,83.2,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.1,10,2,-0.0, SG
216,Joakim Noah,CHI,31,29,15,14,635,0.2,0.1,0.2,38.3,0.0,0.0,0.0,0.0,0.1,48.9,0.1,0.3,0.4,0.2,0.1,0.0,0.1,0.1,1,0,-0.1, SF
217,Jodie Meeks,DET,28,3,3,0,43,0.5,0.2,0.5,35.0,0.1,0.2,44.4,0.1,0.1,100,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0,0,0.2, SF
218,Joe Harris,CLE,24,5,5,0,15,0.2,0.1,0.3,25.0,0.1,0.3,25.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.1,0.0,0.0,0.1,0,0,-1.4, SF
219,Joe Ingles,UTA,28,81,40,41,1241,0.3,0.1,0.2,42.6,0.1,0.2,38.6,0.0,0.0,72.2,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0,0,0.0, PG
220,Joe Johnson,MIA,35,81,31,50,2703,0.4,0.1,0.3,43.9,0.0,0.1,38.3,0.0,0.1,83.1,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.1,3,0,-0.0, C
221,Joe Young,IND,24,41,19,22,383,0.4,0.2,0.4,36.7,0.0,0.1,21.7,0.1,0.1,80.0,0.0,0.1,0.1,0.2,0.1,0.0,0.0,0.1,0,0,-0.1, C
222,Joel Anthony,DET,33,19,12,7,96,0.2,0.1,0.1,60.0,0.0,0.0,0.0,0.1,0.1,75.0,0.1,0.1,0.2,0.0,0.0,0.0,0.1,0.2,0,0,-0.2, C
223,Joffrey Lauvergne,DEN,24,59,24,35,1041,0.5,0.2,0.4,51.3,0.0,0.1,24.5,0.1,0.1,89.9,0.1,0.2,0.3,0.1,0.1,0.0,0.0,0.1,5,0,-0.2, SG
224,John Henson,MIL,25,57,22,35,959,0.4,0.2,0.3,56.4,0.0,0.0,0.0,0.1,0.1,59.0,0.1,0.1,0.2,0.1,0.1,0.0,0.1,0.1,3,0,-0.1, PG
225,John Jenkins,PHX,25,43,18,25,480,0.4,0.1,0.3,44.4,0.0,0.1,31.4,0.0,0.1,83.3,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0,0,-0.1, PF
226,John Wall,WAS,25,77,37,40,2784,0.6,0.2,0.5,42.4,0.0,0.1,35.1,0.1,0.1,79.1,0.0,0.1,0.1,0.3,0.1,0.1,0.0,0.1,49,4,0.0, PF
227,Johnny O'Bryant III,MIL,23,66,27,39,857,0.2,0.1,0.2,41.1,0.0,0.0,100,0.0,0.0,68.4,0.1,0.1,0.2,0.0,0.0,0.0,0.0,0.1,0,0,-0.1, PF
228,Jon Leuer,PHX,27,67,22,45,1255,0.5,0.2,0.4,48.1,0.0,0.1,38.2,0.1,0.1,76.2,0.1,0.2,0.3,0.1,0.1,0.0,0.0,0.1,10,0,-0.1, C
229,Jonas Jerebko,BOS,29,78,47,31,1176,0.3,0.1,0.2,41.3,0.0,0.1,39.8,0.1,0.1,78.2,0.1,0.2,0.2,0.1,0.0,0.0,0.0,0.1,1,0,0.0, SG
230,Jonas Valanciunas,TOR,24,60,40,20,1557,0.5,0.2,0.3,56.5,0.0,0.0,0.0,0.1,0.1,76.1,0.1,0.2,0.3,0.0,0.1,0.0,0.1,0.1,22,0,0.1, SG
231,Jonathon Simmons,SAS,26,55,47,8,813,0.4,0.1,0.3,50.4,0.0,0.1,38.3,0.1,0.1,75.0,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0,0,0.1, PG
232,Jordan Adams,MEM,21,2,0,2,15,0.5,0.1,0.4,33.3,0.0,0.1,0.0,0.2,0.3,60.0,0.0,0.1,0.1,0.2,0.1,0.2,0.0,0.1,0,0,0.3, PG
233,Jordan Clarkson,LAL,24,79,17,62,2552,0.5,0.2,0.4,43.3,0.0,0.1,34.7,0.1,0.1,80.4,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.1,1,0,-0.3, SG
234,Jordan Farmar,MEM,29,12,2,10,291,0.4,0.1,0.3,42.0,0.1,0.1,35.6,0.0,0.0,100,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0,0,-0.2, PF
235,Jordan Hamilton,NOP,25,11,4,7,304,0.4,0.2,0.4,42.2,0.0,0.1,28.9,0.1,0.1,66.7,0.0,0.2,0.2,0.1,0.1,0.0,0.0,0.1,1,0,-0.2, SG
236,Jordan Hill,IND,28,73,40,33,1513,0.4,0.2,0.4,50.6,0.0,0.0,0.0,0.1,0.1,71.2,0.1,0.2,0.3,0.1,0.1,0.0,0.0,0.1,9,0,0.0, PF
237,Jordan McRae,CLE,25,22,10,12,196,0.5,0.2,0.4,43.6,0.1,0.1,45.5,0.1,0.1,75.0,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0,0,0.2, PG
238,Jordan Mickey,BOS,21,16,9,7,57,0.4,0.1,0.4,36.4,0.0,0.0,0.0,0.1,0.2,50.0,0.1,0.1,0.2,0.0,0.0,0.0,0.2,0.1,0,0,0.1, PG
239,Jorge Gutierrez,CHA,27,12,9,3,63,0.3,0.1,0.2,54.5,0.0,0.0,0.0,0.2,0.2,90.9,0.0,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0,0,0.1, PG
240,Jose Calderon,NYK,34,72,29,43,2024,0.3,0.1,0.2,45.9,0.0,0.1,41.4,0.0,0.0,87.5,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.1,1,0,-0.0, SF
241,Josh Huestis,OKC,24,5,2,3,55,0.3,0.1,0.2,41.7,0.1,0.1,66.7,0.0,0.1,0.0,0.0,0.1,0.2,0.0,0.1,0.0,0.0,0.1,0,0,0.0, PF
242,Josh McRoberts,MIA,29,42,27,15,595,0.3,0.1,0.3,37.2,0.0,0.1,24.5,0.1,0.1,70.0,0.0,0.1,0.2,0.1,0.1,0.0,0.0,0.1,1,0,0.0, SG
243,Josh Richardson,MIA,22,52,29,23,1107,0.3,0.1,0.3,45.2,0.1,0.1,46.1,0.0,0.1,66.7,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0,0,0.0, C
244,Josh Smith,HOU,30,55,31,24,880,0.4,0.1,0.4,36.4,0.1,0.2,28.7,0.0,0.1,55.2,0.1,0.2,0.2,0.1,0.1,0.0,0.1,0.1,0,0,-0.1, PG
245,Jrue Holiday,NOP,26,65,27,38,1831,0.6,0.2,0.5,43.9,0.1,0.1,33.6,0.1,0.1,84.3,0.0,0.1,0.1,0.2,0.1,0.1,0.0,0.1,5,0,0.0, PF
246,Julius Randle,LAL,21,81,17,64,2286,0.4,0.2,0.4,42.9,0.0,0.0,27.8,0.1,0.1,71.5,0.1,0.3,0.4,0.1,0.1,0.0,0.0,0.1,34,1,-0.3, SG
247,Justin Anderson,DAL,22,55,28,27,647,0.3,0.1,0.3,40.6,0.0,0.1,26.5,0.1,0.1,80.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.1,1,0,0.0, PF
248,Justin Harper,BKN,26,5,4,1,35,0.4,0.1,0.3,40.0,0.1,0.3,44.4,0.0,0.1,50.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0,0,-0.9, SG
249,Justin Holiday,CHI,27,53,28,25,772,0.3,0.1,0.3,38.6,0.1,0.1,34.3,0.0,0.1,73.0,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0,0,-0.1, SF
250,Justise Winslow,MIA,20,78,46,32,2232,0.2,0.1,0.2,42.2,0.0,0.1,27.6,0.0,0.1,68.4,0.0,0.1,0.2,0.1,0.0,0.0,0.0,0.1,0,0,0.1, C
251,Jusuf Nurkic,DEN,21,32,14,18,547,0.5,0.2,0.4,41.7,0.0,0.0,0.0,0.1,0.2,61.6,0.1,0.2,0.3,0.1,0.1,0.0,0.1,0.2,4,0,-0.0, SG
252,KJ McDaniels,HOU,23,37,17,20,235,0.4,0.1,0.3,40.3,0.0,0.1,28.0,0.1,0.1,80.0,0.1,0.1,0.2,0.0,0.1,0.0,0.0,0.1,0,0,0.3, C
253,Karl-Anthony Towns,MIN,20,82,29,53,2627,0.6,0.2,0.4,54.2,0.0,0.0,34.1,0.1,0.1,81.1,0.1,0.2,0.3,0.1,0.1,0.0,0.1,0.1,52,0,-0.1, SF
254,Kawhi Leonard,SAS,25,72,60,12,2380,0.6,0.2,0.5,50.6,0.1,0.1,44.3,0.1,0.1,87.4,0.0,0.2,0.2,0.1,0.0,0.1,0.0,0.1,12,0,0.3, PG
