Position,Nom,Matchs,Fautes soumises,Passes ratées,Dernières passes avant un tir,Tirs cadrés se dirigeant soit au poteau entrant soit à la barre entrante,Tirs attrappés,Tirs non cadrés,Buts,Hors jeu,Penalty raté,Interceptions,Fautes commises,But contre son camp (c.s.c) ou autogoal,Cartons jaunes,Cartons rouges,Ballons attrapés (que pour les gardiens),Penaltys attrapés (que pour les gardiens),Buts soufferts (que pour les gardiens)
ZAG,Josué,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZAG,Jesiel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZAG,Léo Santos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZAG,Nirley,2,2,5,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0
ZAG,Henrique Trevisan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZAG,Rak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZAG,Roger Carvalho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZAG,Demerson,3,1,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ZAG,Filipe Machado,13,13,26,1,0,2,6,1,0,0,10,11,0,4,0,0,0,0
ZAG,Igor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZAG,Marcão,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZAG,Geovane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZAG,Tiago Alves,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZAG,Tiago,5,3,18,0,0,0,2,1,0,0,8,4,0,0,0,0,0,0
ZAG,Thiago Martins,14,9,22,0,0,0,3,2,1,0,14,24,1,4,0,0,0,0
ZAG,Luis Gustavo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZAG,Tonhão,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZAG,Eriks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZAG,Denilson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZAG,Juan,6,2,8,0,0,0,3,0,0,0,7,1,0,1,0,0,0,0
ZAG,Ronaldo,4,1,6,0,0,0,0,0,0,0,5,4,0,1,0,0,0,0
ZAG,Fred,9,4,18,0,0,0,2,1,1,0,7,8,0,1,0,0,0,0
ZAG,Alan Costa,5,4,10,0,0,0,1,0,0,0,3,10,0,3,0,0,0,0
ZAG,Vinicius,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZAG,Fabrício Bruno,7,1,5,0,0,0,1,1,0,0,4,0,0,1,0,0,0,0
ZAG,Marcelo,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ZAG,Edcarlos,6,5,18,0,0,1,1,0,0,0,9,9,0,3,0,0,0,0
ZAG,Luan Peres,8,6,18,0,0,0,0,0,0,0,6,9,0,2,1,0,0,0
ZAG,Bruno,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZAG,Bruno Viana,13,5,35,0,0,2,2,0,0,0,11,10,0,6,0,0,0,0
ZAG,Lugano,13,5,35,0,0,0,4,2,3,0,8,14,0,5,1,0,0,0
ZAG,Bruno Alves,27,11,60,0,0,1,1,1,4,0,37,26,0,3,0,0,0,0
ZAG,Marcão,10,7,3,0,0,1,2,0,0,0,2,10,0,2,0,0,0,0
ZAG,Gabriel,11,10,29,1,0,1,2,0,0,0,11,9,0,2,0,0,0,0
ZAG,Yerry Mina,7,7,20,0,0,2,3,4,0,0,9,10,0,3,0,0,0,0
ZAG,Manoel,10,11,24,0,0,0,4,0,1,0,4,6,0,0,1,0,0,0
ZAG,Ernando,29,9,47,3,0,3,8,2,0,0,26,23,0,3,0,0,0,0
LAT,Tiago Costa,17,22,47,1,0,3,4,2,3,0,28,38,1,4,0,0,0,0
LAT,João Pedro,1,2,3,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0
LAT,Diogo Barbosa,21,34,76,1,0,1,2,2,2,0,27,21,0,4,0,0,0,0
LAT,Leandro Silva,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAT,Mayke,4,1,2,1,0,0,0,0,0,0,7,5,0,2,0,0,0,0
LAT,Norberto,7,8,18,0,0,0,0,0,0,0,16,11,0,2,1,0,0,0
LAT,Luis Ricardo,19,12,87,4,2,5,3,0,0,0,32,5,0,1,0,0,0,0
LAT,Jonathan,11,6,30,0,0,1,1,0,1,0,11,6,0,2,0,0,0,0
LAT,Marcos Rocha,13,22,66,3,0,0,4,0,2,0,36,20,0,3,1,0,0,0
LAT,Caramelo,4,5,4,0,0,0,0,0,0,0,4,5,0,1,0,0,0,0
LAT,Sinho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAT,Thiago Ennes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAT,Adson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAT,Pablo,15,21,66,0,0,1,5,0,2,0,18,14,0,2,1,0,0,0
LAT,Arthur Henrique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAT,Raul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAT,Kaike,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAT,Artur,20,11,71,1,0,1,3,0,1,0,29,43,0,7,0,0,0,0
LAT,Euller,19,20,49,1,0,3,2,1,0,0,25,22,0,4,0,0,0,0
LAT,Matheus Reis,15,12,31,1,0,2,0,0,0,0,16,29,0,1,1,0,0,0
LAT,Geferson,8,2,13,1,0,0,1,0,1,0,5,9,0,3,0,0,0,0
LAT,Lucas Lovat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAT,Mansur,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAT,Igor Julião,3,4,6,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0
LAT,Jeferson,17,11,42,0,1,0,2,1,1,0,12,23,0,5,0,0,0,0
LAT,Bruno Santos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAT,Evandro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAT,Diogo Vitor,2,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
LAT,Iago,2,1,6,0,0,0,0,0,0,0,3,4,0,1,0,0,0,0
LAT,Dodô,21,23,59,2,0,2,1,0,1,0,22,9,0,2,0,0,0,0
LAT,Carlinhos,14,32,47,1,0,1,2,1,0,0,26,24,0,5,0,0,0,0
LAT,Rafael Galhardo,5,9,22,0,0,2,2,0,0,0,3,4,0,0,0,0,0,0
LAT,Raphinha,2,2,15,0,0,0,0,0,0,0,5,5,0,2,0,0,0,0
LAT,Bruno Pereirinha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAT,Danilo Barcelos,27,16,70,2,0,15,14,3,1,0,15,29,0,3,0,0,0,0
LAT,Ayrton,2,3,2,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0
LAT,Caju,10,2,21,2,0,0,0,0,1,0,19,11,0,1,0,0,0,0
LAT,Cascardo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAT,Diego,3,5,9,0,0,0,0,0,0,0,7,5,0,1,0,0,0,0
LAT,Danylo Fernandes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAT,Giovanni,9,7,30,0,0,1,3,0,1,0,12,6,0,3,0,0,0,0
LAT,Renatinho,2,1,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
LAT,Emerson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAT,Bruno Teles,6,3,13,0,0,1,2,0,0,0,7,4,0,0,0,0,0,0
LAT,Fabiano,2,0,5,0,0,2,0,0,0,0,4,3,0,0,0,0,0,0
LAT,Guilherme Arana,6,1,7,0,0,0,3,0,0,0,5,7,0,1,0,0,0,0
LAT,Lucas,20,16,69,1,0,5,7,0,2,0,14,34,1,4,3,0,0,0
LAT,Sidcley,21,29,58,0,0,3,2,0,1,0,24,18,0,3,0,0,0,0
LAT,Wesley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAT,Auro,6,2,10,0,0,1,1,0,0,0,4,3,0,0,0,0,0,0
LAT,Guilherme Morassi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAT,Ortega,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAT,Chiquinho,6,3,16,0,0,2,0,0,0,0,4,4,0,1,0,0,0,0
LAT,Marlon,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
LAT,Fagner,25,44,123,3,0,1,7,1,0,0,54,34,0,7,0,0,0,0
LAT,Hélder,9,12,30,2,0,0,1,0,1,0,12,19,0,2,0,0,0,0
LAT,Rodinei,13,18,39,0,0,2,6,0,1,0,18,7,0,1,0,0,0,0
LAT,Breno Lopes,2,2,5,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0
LAT,Matheus Oliveira,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAT,Vitinho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAT,Emerson Conceição,1,1,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0
LAT,Marcinho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAT,Fabrício,4,2,4,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0
LAT,Claudio Winck,5,4,13,0,0,0,0,0,0,0,7,6,0,0,0,0,0,0
LAT,Caixinha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAT,Maicon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAT,Victor Lindenberg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAT,Wallace Oliveira,3,0,7,0,0,0,2,0,0,0,3,6,0,0,0,0,0,0
LAT,Marcelo Hermes,9,8,35,1,0,0,2,2,0,0,13,12,0,2,0,0,0,0
LAT,Mário Sérgio,3,2,4,0,0,0,0,0,0,0,5,3,0,2,0,0,0,0
LAT,Egídio,12,11,52,0,0,1,4,0,1,0,26,12,0,0,0,0,0,0
LAT,Pará,8,13,9,0,0,0,1,0,0,0,13,9,0,2,0,0,0,0
